code,name,id
12.13.06,Siabu,adm_area_12_13_06
12.13.06.2001,Aek Mual,adm_area_12_13_06_2001
12.13.06.2002,Bonan Dolok,adm_area_12_13_06_2002
12.13.06.2003,Huta Raja,adm_area_12_13_06_2003
12.13.06.2004,Huta Puli,adm_area_12_13_06_2004
12.13.06.2005,Huta Baringin,adm_area_12_13_06_2005
12.13.06.2006,Huta Godang Muda,adm_area_12_13_06_2006
12.13.06.2007,Huraba I,adm_area_12_13_06_2007
12.13.06.2008,Huraba II,adm_area_12_13_06_2008
12.13.06.2009,Lumban Pinasa,adm_area_12_13_06_2009
12.13.06.2010,Lumban Dolok,adm_area_12_13_06_2010
12.13.06.2011,Muara Btg. Angkola,adm_area_12_13_06_2011
12.13.06.2012,Pintu Padang Jae,adm_area_12_13_06_2012
12.13.06.2013,Pintu Padang Julu,adm_area_12_13_06_2013
12.13.06.1014,Siabu,adm_area_12_13_06_1014
12.13.06.2015,Sibaruang,adm_area_12_13_06_2015
12.13.06.2016,Sihepeng,adm_area_12_13_06_2016
12.13.06.2017,Simaninggir,adm_area_12_13_06_2017
12.13.06.2018,Sinonoan,adm_area_12_13_06_2018
12.13.06.2019,Tangga Bosi II,adm_area_12_13_06_2019
12.13.06.2020,Tanjung Sialang,adm_area_12_13_06_2020
12.13.06.2021,Tangga Bosi I,adm_area_12_13_06_2021
12.13.06.2022,Tangga Bosi III,adm_area_12_13_06_2022
12.13.06.1023,Simangambat,adm_area_12_13_06_1023
12.13.06.2024,Sihepeng Sada,adm_area_12_13_06_2024
12.13.06.2025,Sihepeng Dua,adm_area_12_13_06_2025
12.13.06.2026,Sihepeng Tolu,adm_area_12_13_06_2026
12.13.06.2027,Sihepeng Opat,adm_area_12_13_06_2027
12.13.06.2028,Sihepeng Lima,adm_area_12_13_06_2028
12.13.07,Bukit Malintang,adm_area_12_13_07
12.13.07.2001,Bange,adm_area_12_13_07_2001
12.13.07.2003,Huta Bangun,adm_area_12_13_07_2003
12.13.07.2005,Janji Matogu,adm_area_12_13_07_2005
12.13.07.2006,Malintang Jae,adm_area_12_13_07_2006
12.13.07.2007,Malintang Julu,adm_area_12_13_07_2007
12.13.07.2008,Pasar Baru Malintang,adm_area_12_13_07_2008
12.13.07.2010,Sidojadi,adm_area_12_13_07_2010
12.13.07.2013,Lambou Darul Ihsan,adm_area_12_13_07_2013
12.13.07.2014,Huta Bangun Jae,adm_area_12_13_07_2014
12.13.07.2015,Bange Nauli,adm_area_12_13_07_2015
12.13.07.2016,Malintang,adm_area_12_13_07_2016
12.13.08,Kotanopan,adm_area_12_13_08
12.13.08.2001,Batahan,adm_area_12_13_08_2001
12.13.08.2002,Botung,adm_area_12_13_08_2002
12.13.08.2003,Gading Bain,adm_area_12_13_08_2003
12.13.08.2004,Gunung Tua MS,adm_area_12_13_08_2004
12.13.08.2005,Gunung Tua SM,adm_area_12_13_08_2005
12.13.08.2006,Hutapuli,adm_area_12_13_08_2006
12.13.08.2007,Huta Padang MS,adm_area_12_13_08_2007
12.13.08.2008,Hutarimbaru SM,adm_area_12_13_08_2008
12.13.08.2009,Huta Baringin TB,adm_area_12_13_08_2009
12.13.08.2010,Huta Pungkut Jae,adm_area_12_13_08_2010
12.13.08.2011,Huta Pungkut Tonga,adm_area_12_13_08_2011
12.13.08.2012,Huta Pungkut Julu,adm_area_12_13_08_2012
12.13.08.2013,Huta Dangka,adm_area_12_13_08_2013
12.13.08.2014,Muara Potan,adm_area_12_13_08_2014
12.13.08.2015,Muara Siambak,adm_area_12_13_08_2015
12.13.08.2016,Manambin,adm_area_12_13_08_2016
12.13.08.2017,Muara Pungkut,adm_area_12_13_08_2017
12.13.08.2018,Muara Botung,adm_area_12_13_08_2018
12.13.08.2019,Pagar Gunung,adm_area_12_13_08_2019
12.13.08.2020,Padang Bulan,adm_area_12_13_08_2020
12.13.08.2021,Patialo,adm_area_12_13_08_2021
12.13.08.2022,Saba Dolok,adm_area_12_13_08_2022
12.13.08.2023,Singengu Jae,adm_area_12_13_08_2023
12.13.08.2024,Singengu Julu,adm_area_12_13_08_2024
12.13.08.2025,Sayur Maincat,adm_area_12_13_08_2025
12.13.08.2026,Simpang Tolang Jae,adm_area_12_13_08_2026
12.13.08.2027,Simpang Tolang Julu,adm_area_12_13_08_2027
12.13.08.2028,Sibio Bio,adm_area_12_13_08_2028
12.13.08.2029,Sopo Sorik,adm_area_12_13_08_2029
12.13.08.2030,Simandolam,adm_area_12_13_08_2030
12.13.08.2031,Tombang Bustak,adm_area_12_13_08_2031
12.13.08.1032,Tamiang,adm_area_12_13_08_1032
12.13.08.2033,Tobang,adm_area_12_13_08_2033
12.13.08.2034,Ujung Marisi,adm_area_12_13_08_2034
12.13.08.2035,Usor Tolang,adm_area_12_13_08_2035
12.13.08.1036,Pasar Kotanopan,adm_area_12_13_08_1036
12.13.08.2037,Muara Saladi,adm_area_12_13_08_2037
12.13.09,Lembah Sorik Marapi,adm_area_12_13_09
12.13.09.2001,Aek Marian MG,adm_area_12_13_09_2001
12.13.09.2002,Bangun Purba,adm_area_12_13_09_2002
12.13.09.2003,Maga Lombang,adm_area_12_13_09_2003
12.13.09.2004,Maga Dolok,adm_area_12_13_09_2004
12.13.09.2005,Purba Baru,adm_area_12_13_09_2005
12.13.09.2006,Purba Lamo,adm_area_12_13_09_2006
12.13.09.2007,Pangkat,adm_area_12_13_09_2007
12.13.09.1008,Pasar Maga,adm_area_12_13_09_1008
12.13.09.2009,Siantona,adm_area_12_13_09_2009
12.13.10,Tambangan,adm_area_12_13_10
12.13.10.2001,Angin Barat,adm_area_12_13_10_2001
12.13.10.2006,Huta Tonga AB,adm_area_12_13_10_2006
12.13.10.2007,Laru Baringin,adm_area_12_13_10_2007
12.13.10.2008,Laru Bolak,adm_area_12_13_10_2008
12.13.10.2009,Laru Dolok,adm_area_12_13_10_2009
12.13.10.1010,Laru Lombang,adm_area_12_13_10_1010
12.13.10.2011,Lumban Pasir,adm_area_12_13_10_2011
12.13.10.2012,Muara Mais,adm_area_12_13_10_2012
12.13.10.2013,Muara Mais Jambur,adm_area_12_13_10_2013
12.13.10.2014,Padang Sanggar,adm_area_12_13_10_2014
12.13.10.2015,Panjaringan,adm_area_12_13_10_2015
12.13.10.2016,Pasar Laru,adm_area_12_13_10_2016
12.13.10.2017,Pastap,adm_area_12_13_10_2017
12.13.10.2018,Pastap Julu,adm_area_12_13_10_2018
12.13.10.2020,Rao Rao Dolok,adm_area_12_13_10_2020
12.13.10.2021,Rao Rao Lombang,adm_area_12_13_10_2021
12.13.10.2025,Simangambat TB,adm_area_12_13_10_2025
12.13.10.2026,Tambangan Jae,adm_area_12_13_10_2026
12.13.10.2027,Tambangan Pasoman,adm_area_12_13_10_2027
12.13.10.2028,Tambangan Tonga,adm_area_12_13_10_2028
12.13.11,Ulu Pungkut,adm_area_12_13_11
12.13.11.2001,Alahan Kae,adm_area_12_13_11_2001
12.13.11.2002,Habincaran,adm_area_12_13_11_2002
12.13.11.1003,Huta Godang,adm_area_12_13_11_1003
12.13.11.2004,Huta Padang UP,adm_area_12_13_11_2004
12.13.11.2005,Hutaimbaru UP,adm_area_12_13_11_2005
12.13.11.2007,Patahajang,adm_area_12_13_11_2007
12.13.11.2008,Simpang Banyak Jae,adm_area_12_13_11_2008
12.13.11.2009,Simpang Banyak Julu,adm_area_12_13_11_2009
12.13.11.2010,Simpang Duhu Dolok,adm_area_12_13_11_2010
12.13.11.2011,Simpang Duhu Lombang,adm_area_12_13_11_2011
12.13.11.2012,Simpang Pining,adm_area_12_13_11_2012
12.13.11.2013,Tolang,adm_area_12_13_11_2013
12.13.12,Muara Sipongi,adm_area_12_13_12
12.13.12.2001,Bandar Panjang,adm_area_12_13_12_2001
12.13.12.2002,Bandar Panjang Tuo,adm_area_12_13_12_2002
12.13.12.2007,Kampung Pinang,adm_area_12_13_12_2007
12.13.12.2008,Koto Baringin,adm_area_12_13_12_2008
