code,name,id
31,DKI JAKARTA,adm_area_31
31.01,KAB. ADM. KEP. SERIBU,adm_area_31_01
31.01.01,Kepulauan Seribu Utara,adm_area_31_01_01
31.01.01.1001,Pulau Panggang,adm_area_31_01_01_1001
31.01.01.1002,Pulau Kelapa,adm_area_31_01_01_1002
31.01.01.1003,Pulau Harapan,adm_area_31_01_01_1003
31.01.02,Kepulauan Seribu Selatan.,adm_area_31_01_02
31.01.02.1001,Pulau Untung Jawa,adm_area_31_01_02_1001
31.01.02.1002,Pulau Tidung,adm_area_31_01_02_1002
31.01.02.1003,Pulau Pari,adm_area_31_01_02_1003
31.71,KOTA ADM. JAKARTA PUSAT,adm_area_31_71
31.71.01,Gambir,adm_area_31_71_01
31.71.01.1001,Gambir,adm_area_31_71_01_1001
31.71.01.1002,Cideng,adm_area_31_71_01_1002
31.71.01.1003,Petojo Utara,adm_area_31_71_01_1003
31.71.01.1004,Petojo Selatan,adm_area_31_71_01_1004
31.71.01.1005,Kebon Kelapa,adm_area_31_71_01_1005
31.71.01.1006,Duri Pulo,adm_area_31_71_01_1006
31.71.02,Sawah Besar,adm_area_31_71_02
31.71.02.1001,Pasar Baru,adm_area_31_71_02_1001
31.71.02.1002,Karang Anyar,adm_area_31_71_02_1002
31.71.02.1003,Kartini,adm_area_31_71_02_1003
31.71.02.1004,Gunung Sahari Utara,adm_area_31_71_02_1004
31.71.02.1005,Mangga Dua Selatan,adm_area_31_71_02_1005
31.71.03,Kemayoran,adm_area_31_71_03
31.71.03.1001,Kemayoran,adm_area_31_71_03_1001
31.71.03.1002,Kebon Kosong,adm_area_31_71_03_1002
31.71.03.1003,Harapan Mulia,adm_area_31_71_03_1003
31.71.03.1004,Serdang,adm_area_31_71_03_1004
31.71.03.1005,Gunung Sahari Selatan,adm_area_31_71_03_1005
31.71.03.1006,Cempaka Baru,adm_area_31_71_03_1006
31.71.03.1007,Sumur Batu,adm_area_31_71_03_1007
31.71.03.1008,Utan Panjang,adm_area_31_71_03_1008
31.71.04,Senen,adm_area_31_71_04
31.71.04.1001,Senen,adm_area_31_71_04_1001
31.71.04.1002,Kenari,adm_area_31_71_04_1002
31.71.04.1003,Paseban,adm_area_31_71_04_1003
31.71.04.1004,Kramat,adm_area_31_71_04_1004
31.71.04.1005,Kwitang,adm_area_31_71_04_1005
31.71.04.1006,Bungur,adm_area_31_71_04_1006
31.71.05,Cempaka Putih,adm_area_31_71_05
31.71.05.1001,Cempaka Putih Timur,adm_area_31_71_05_1001
31.71.05.1002,Cempaka Putih Barat,adm_area_31_71_05_1002
31.71.05.1003,Rawasari,adm_area_31_71_05_1003
31.71.06,Menteng,adm_area_31_71_06
31.71.06.1001,Menteng,adm_area_31_71_06_1001
31.71.06.1002,Pegangsaan,adm_area_31_71_06_1002
31.71.06.1003,Cikini,adm_area_31_71_06_1003
31.71.06.1004,Gondangdia,adm_area_31_71_06_1004
31.71.06.1005,Kebon Sirih,adm_area_31_71_06_1005
31.71.07,Tanah Abang,adm_area_31_71_07
31.71.07.1001,Gelora,adm_area_31_71_07_1001
31.71.07.1002,Bendungan Hilir,adm_area_31_71_07_1002
31.71.07.1003,Karet Tengsin,adm_area_31_71_07_1003
31.71.07.1004,Petamburan,adm_area_31_71_07_1004
31.71.07.1005,Kebon Melati,adm_area_31_71_07_1005
31.71.07.1006,Kebon Kacang,adm_area_31_71_07_1006
31.71.07.1007,Kampung Bali,adm_area_31_71_07_1007
31.71.08,Johar Baru,adm_area_31_71_08
31.71.08.1001,Johar Baru,adm_area_31_71_08_1001
31.71.08.1002,Kampung Rawa,adm_area_31_71_08_1002
31.71.08.1003,Galur,adm_area_31_71_08_1003
31.71.08.1004,Tanah Tinggi,adm_area_31_71_08_1004
31.72,KOTA ADM. JAKARTA UTARA,adm_area_31_72
31.72.01,Penjaringan,adm_area_31_72_01
31.72.01.1001,Penjaringan,adm_area_31_72_01_1001
31.72.01.1002,Kamal Muara,adm_area_31_72_01_1002
31.72.01.1003,Kapuk Muara,adm_area_31_72_01_1003
31.72.01.1004,Pejagalan,adm_area_31_72_01_1004
31.72.01.1005,Pluit,adm_area_31_72_01_1005
31.72.02,Tanjung Priok,adm_area_31_72_02
